payment_id,true_case_type
pay_00151,clean_match
pay_00152,clean_match
pay_00153,clean_match
pay_00154,clean_match
pay_00155,clean_match
pay_00156,clean_match
pay_00157,clean_match
pay_00158,clean_match
pay_00159,clean_match
pay_00160,clean_match
pay_00161,partial_settlement
pay_00162,partial_settlement
pay_00163,partial_settlement
pay_00164,partial_settlement
pay_00165,partial_settlement
pay_00166,partial_settlement
pay_00167,partial_settlement
pay_00168,partial_settlement
pay_00169,partial_settlement
pay_00170,partial_settlement
pay_00171,partial_settlement
pay_00172,partial_settlement
pay_00173,partial_settlement
pay_00174,partial_settlement
pay_00175,partial_settlement
pay_00176,partial_settlement
pay_00177,partial_settlement
pay_00178,partial_settlement
pay_00179,partial_settlement
pay_00180,partial_settlement
pay_00181,partial_settlement
pay_00182,partial_settlement
pay_00183,partial_settlement
pay_00184,partial_settlement
pay_00185,partial_settlement
pay_00186,partial_settlement
pay_00187,partial_settlement
pay_00188,partial_settlement
pay_00189,partial_settlement
pay_00190,partial_settlement
pay_00191,partial_settlement
pay_00192,partial_settlement
pay_00193,partial_settlement
pay_00194,partial_settlement
pay_00195,fee_deduction
pay_00196,fee_deduction
pay_00197,fee_deduction
pay_00198,fee_deduction
pay_00199,fee_deduction
pay_00200,fee_deduction
pay_00201,fee_deduction
pay_00202,fee_deduction
pay_00203,fee_deduction
pay_00204,fee_deduction
pay_00205,fee_deduction
pay_00206,fee_deduction
pay_00207,fee_deduction
pay_00208,fee_deduction
pay_00209,fee_deduction
pay_00210,fee_deduction
pay_00211,fee_deduction
pay_00212,fee_deduction
pay_00213,fee_deduction
pay_00214,fee_deduction
pay_00215,fee_deduction
pay_00216,fee_deduction
pay_00217,fee_deduction
pay_00218,fee_deduction
pay_00219,fee_deduction
pay_00220,fee_deduction
pay_00221,fee_deduction
pay_00222,fee_deduction
pay_00223,fee_deduction
pay_00224,fee_deduction
pay_00225,fee_deduction
pay_00226,fee_deduction
pay_00227,fee_deduction
pay_00228,fee_deduction
pay_00229,date_lag
pay_00230,date_lag
pay_00231,date_lag
pay_00232,date_lag
pay_00233,date_lag
pay_00234,date_lag
pay_00235,date_lag
pay_00236,date_lag
pay_00237,date_lag
pay_00238,date_lag
pay_00239,date_lag
pay_00240,date_lag
pay_00241,date_lag
pay_00242,date_lag
pay_00243,date_lag
pay_00244,date_lag
pay_00245,date_lag
pay_00246,date_lag
pay_00247,date_lag
pay_00248,date_lag
pay_00249,date_lag
pay_00250,date_lag
pay_00251,date_lag
pay_00252,date_lag
pay_00253,date_lag
pay_00254,date_lag
pay_00255,ambiguous_duplicate_utr
pay_00256,ambiguous_duplicate_utr
pay_00257,ambiguous_duplicate_utr
pay_00258,ambiguous_duplicate_utr
pay_00259,ambiguous_duplicate_utr
pay_00260,ambiguous_duplicate_utr
pay_00261,ambiguous_duplicate_utr
pay_00262,ambiguous_duplicate_utr
pay_00263,ambiguous_duplicate_utr
pay_00264,ambiguous_duplicate_utr
pay_00265,ambiguous_duplicate_utr
pay_00266,ambiguous_duplicate_utr
pay_00267,ambiguous_duplicate_utr
pay_00268,ambiguous_duplicate_utr
pay_00269,ambiguous_duplicate_utr
pay_00270,ambiguous_duplicate_utr
pay_00271,ambiguous_duplicate_utr
pay_00272,ambiguous_duplicate_utr
pay_00273,ambiguous_duplicate_utr
pay_00274,ambiguous_duplicate_utr
pay_00275,ambiguous_duplicate_utr
pay_00276,ambiguous_duplicate_utr
pay_00277,ambiguous_duplicate_utr
pay_00278,ambiguous_duplicate_utr
pay_00279,ambiguous_duplicate_utr
pay_00280,ambiguous_duplicate_utr
pay_00281,ambiguous_duplicate_utr
pay_00282,ambiguous_duplicate_utr
pay_00283,ambiguous_duplicate_utr
pay_00284,ambiguous_duplicate_utr
pay_00285,ambiguous_duplicate_utr
pay_00286,ambiguous_duplicate_utr
pay_00287,ambiguous_duplicate_utr
pay_00288,ambiguous_duplicate_utr
pay_00289,no_bank_entry
pay_00290,no_bank_entry
pay_00291,no_bank_entry
pay_00292,no_bank_entry
pay_00293,no_bank_entry
pay_00294,no_bank_entry
pay_00295,no_bank_entry
pay_00296,no_bank_entry
pay_00297,no_bank_entry
pay_00298,no_bank_entry
pay_00299,no_bank_entry
pay_00300,no_bank_entry
pay_00301,no_bank_entry
pay_00302,no_ledger_entry
pay_00303,no_ledger_entry
pay_00304,no_ledger_entry
pay_00305,no_ledger_entry
pay_00306,no_ledger_entry
pay_00307,no_ledger_entry
pay_00308,no_ledger_entry
pay_00309,no_ledger_entry
pay_00310,no_ledger_entry
pay_00311,no_ledger_entry
pay_00312,no_ledger_entry
pay_00313,no_ledger_entry
pay_00314,no_ledger_entry
