utr,credited_amount,value_date,narration
UTR0254567392057,4493.88,2026-08-07,NEFT CR LAGGED UTR0254567392057
UTR5090762025058,44345.12,2026-08-16,NEFT CR LAGGED UTR5090762025058
UTR6402280227059,12161.68,2026-08-16,NEFT CR LAGGED UTR6402280227059
UTR4569801375060,44439.32,2026-08-27,NEFT CR LAGGED UTR4569801375060
UTR2166954004061,72162.38,2026-08-19,NEFT CR AMBIGUOUS UTR2166954004061
UTR5078571542063,72694.62,2026-08-16,NEFT CR AMBIGUOUS UTR5078571542063
UTR3368362985065,72778.76,2026-08-13,NEFT CR AMBIGUOUS UTR3368362985065
UTR8808405644067,33139.65,2026-08-23,NEFT CR AMBIGUOUS UTR8808405644067
UTR8443739892072,74918.22,2026-08-16,NEFT CR UTR8443739892072
UTR4349397619073,29031.33,2026-08-25,NEFT CR UTR4349397619073
UTR3180901890074,9905.35,2026-08-19,NEFT CR UTR3180901890074
